*1	OÙ QUE'*L EST JEAN?
*2	Jean et la Marie sont dans le jardin. Fait le soleil aujourd'hui, fait très chaud. Mais hier, *fasséve une grande froid! Ils n'ont pas *povu jouer dehors. Jean et la Marie *âmont beaucoup jouer, ils jouent toujours ensemble dans le jardin devant la grande maison.
*3	Jean est un enfant et il a six ans. La petite fille est sa sœur, l'a cinq ans. Jean a un petit chien, le chien est aussi dans le jardin en ce moment. Le chien *âme jouer avec les deux enfants. Le chien est très content maintenant.
*4	Est-ce que la Marie a aussi un chien? Non, la Marie a aucun chien, l'a un chat. Le chat est à la maison. Le chat dort.
*5	La mère est à la maison avec le chat, la *agouéte par la fenêtre et *vêt Jean et la Marie après jouer. Jean *côrt vite vers le gros arbre vert, il *recond de la Marie. Est-ce que vous *sâde pourquoi? La Marie est *assetâye et l'a les mains devant les yeux. Le *pôt rien *vêre et elle compte. Pourquoi Elle fait cela? Puis ta ce qu'il fait Jean de-*couta l'arbre?
*6	C'est un jeu. *Quand la Marie a *forni de compter, la *agouéte à la *entôrn. Elle cherche Jean. Où Que'*l est *modâ? Est-ce que vous le *vêde?
*7	La Marie *sât pas où que'*l est Jean. Elle demande au chien: "Est-ce que tu as *viu Jean?" Mais le chien *pôt pas parler, bien sûr! Alors la Marie *recêt aucune réponse à sa question. Les gens *recêvont jamais de réponse *quand ils *prègiont aux chiens!
*8	La Marie *agouéte la mère derrière la fenêtre, la mère *recafe. La Marie *pense qu'il l'a *viu où que Jean est *modâ. "*Di-m'où que'*l est?", Le *dit à la mère. "Non, Marie, *pouè pas te le *dére", le *rèpond. *Quand bien le *sât *quasi bien sûr où que'*l est, le *vôt pas cela *dére.
*9	La Marie marche lentement aie *travèrs du jardin. Elle cherche toujours de trouver Jean. Le *agouéte dessous la table et dessous les chaises, mais Jean n'est pas *lé. Le *agouéte partout mais *pôt pas trouver Jean.
*10	Alors la *aouit un bruit, il *vint de derrière le gros arbre vert. Est-ce que c'est Jean? Encore ce bruit! L'écoute avec attention, ce ne est pas un oiseau bien une autre animal. Elle le *aouit bien maintenant. Cela doit être Jean! 
*11	Alors le *vêt une *menota et *quand le *vint de-*couta, le *vêt aussi sa tête! Le *recafe puis *dit: "T'ai trouvé!" Ils sont contents, tous les deux, et ils se *rentôrnont à la maison. C'est le moment de manger quelque chose et de boire de l'eau!
